N;Approx
1596;0.0481387
1597;0.0479465
1598;0.0477546
1599;0.0475632
1600;0.0473722
1601;0.0471816
1602;0.0469914
1603;0.0468016
1604;0.0466121
1605;0.0464231
1606;0.0462345
1607;0.0460462
1608;0.0458584
1609;0.0456709
1610;0.0454839
1611;0.0452972
1612;0.0451109
1613;0.044925
1614;0.0447395
1615;0.0445544
1616;0.0443697
1617;0.0441853
1618;0.0440013
1619;0.0438177
1620;0.0436345
1621;0.0434517
1622;0.0432692
1623;0.0430872
1624;0.0429054
1625;0.0427241
1626;0.0425432
1627;0.0423626
1628;0.0421824
1629;0.0420025
1630;0.0418231
1631;0.041644
1632;0.0414652
1633;0.0412869
1634;0.0411089
1635;0.0409312
1636;0.040754
1637;0.0405771
1638;0.0404005
1639;0.0402243
1640;0.0400485
1641;0.039873
1642;0.0396979
1643;0.0395232
1644;0.0393488
1645;0.0391748
1646;0.0390011
1647;0.0388277
1648;0.0386548
1649;0.0384821
1650;0.0383099
1651;0.0381379
1652;0.0379664
1653;0.0377951
1654;0.0376242
1655;0.0374537
1656;0.0372835
1657;0.0371137
1658;0.0369441
1659;0.036775
1660;0.0366062
1661;0.0364377
1662;0.0362695
1663;0.0361017
1664;0.0359343
1665;0.0357671
1666;0.0356003
1667;0.0354339
1668;0.0352677
1669;0.0351019
1670;0.0349365
1671;0.0347714
1672;0.0346066
1673;0.0344421
1674;0.034278
1675;0.0341141
1676;0.0339507
1677;0.0337875
1678;0.0336247
1679;0.0334622
1680;0.0333
1681;0.0331381
1682;0.0329766
1683;0.0328154
1684;0.0326545
1685;0.0324939
1686;0.0323336
1687;0.0321737
1688;0.0320141
1689;0.0318547
1690;0.0316958
1691;0.0315371
1692;0.0313787
1693;0.0312207
1694;0.0310629
1695;0.0309055
1696;0.0307484
1697;0.0305916
1698;0.0304351
1699;0.0302789
1700;0.030123
1701;0.0299674
1702;0.0298122
1703;0.0296572
1704;0.0295026
1705;0.0293482
1706;0.0291942
1707;0.0290404
1708;0.028887
1709;0.0287338
1710;0.028581
1711;0.0284284
1712;0.0282762
1713;0.0281242
1714;0.0279726
1715;0.0278212
1716;0.0276701
1717;0.0275194
1718;0.0273689
1719;0.0272187
1720;0.0270688
1721;0.0269192
1722;0.0267699
1723;0.0266209
1724;0.0264722
1725;0.0263237
1726;0.0261756
1727;0.0260277
1728;0.0258802
1729;0.0257329
1730;0.0255859
1731;0.0254391
1732;0.0252927
1733;0.0251466
1734;0.0250007
1735;0.0248551
1736;0.0247098
1737;0.0245648
1738;0.02442
1739;0.0242756
1740;0.0241314
1741;0.0239875
1742;0.0238438
1743;0.0237005
1744;0.0235574
1745;0.0234146
1746;0.023272
1747;0.0231298
1748;0.0229878
1749;0.0228461
1750;0.0227046
1751;0.0225635
1752;0.0224226
1753;0.0222819
1754;0.0221416
1755;0.0220015
1756;0.0218617
1757;0.0217221
1758;0.0215828
1759;0.0214438
1760;0.021305
1761;0.0211665
1762;0.0210283
1763;0.0208903
1764;0.0207526
1765;0.0206152
1766;0.020478
1767;0.0203411
1768;0.0202044
1769;0.020068
1770;0.0199318
1771;0.019796
1772;0.0196603
1773;0.019525
1774;0.0193898
1775;0.019255
1776;0.0191204
1777;0.018986
1778;0.0188519
1779;0.0187181
1780;0.0185845
1781;0.0184512
1782;0.0183181
1783;0.0181852
1784;0.0180527
1785;0.0179203
1786;0.0177882
1787;0.0176564
1788;0.0175248
1789;0.0173935
1790;0.0172624
1791;0.0171315
1792;0.0170009
1793;0.0168706
1794;0.0167405
1795;0.0166106
1796;0.016481
1797;0.0163516
1798;0.0162225
1799;0.0160936
1800;0.0159649
1801;0.0158365
1802;0.0157083
1803;0.0155804
1804;0.0154527
1805;0.0153252
1806;0.015198
1807;0.015071
1808;0.0149443
1809;0.0148178
1810;0.0146915
1811;0.0145655
1812;0.0144397
1813;0.0143141
1814;0.0141888
1815;0.0140637
1816;0.0139388
1817;0.0138142
1818;0.0136897
1819;0.0135656
1820;0.0134416
1821;0.0133179
1822;0.0131944
1823;0.0130712
